Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
2,7.985714286,38,370500,2106,51.87142857,98.1,445,32.85714286,3.5,515
4,12.77142857,36.3,603245,2703,77,93.3,532,31.78571429,2.6,1147
6,17.04285714,23.5,761065,2865,117.3857143,88.4,533,34.28571429,5.4,1537
8,21.15714286,31.6,862905,2963,153.5857143,86.1,533,41.94285714,3.8,1638
10,25.05714286,34.1,1054665,3023,190.4,85.6,533,49.41428571,3,1801
15,35.24285714,29.6,1413860,3069,171.5857143,74.6,862,68.6,2.1,1895
20,47.64285714,30.6,1826185,3076,205.5857143,55.8,977,72.85714286,1.2,2402
25,56.87142857,20.2,2169330,3083,256.2571429,44,977,80.91428571,1.7,2677
30,70.22857143,21.7,2496595,3083,306.9571429,36.6,977,96.37142857,1.2,2753
35,78.14285714,20.1,2678465,3083,359.3714286,33.6,978,109.4857143,1.2,2784
40,89.18571429,31.7,3270015,3083,405.9428571,29.2,980,122.0428571,1.3,2791
45,95.88571429,21.3,3487185,3083,422.8142857,29.3,1052,132.5714286,1.6,2834
50,104.9857143,21.4,3646785,3083,469.8,27.8,1052,146.6428571,1.2,2840
60,127.3714286,13.9,4702620,3083,520.1714286,24.9,1107,174.4428571,1.3,2842
70,155.7571429,14.7,5086780,3083,598.1428571,27,1107,191.4857143,1.7,2964
80,170.6428571,18.3,5934810,3083,672.0857143,36.9,1107,221.9285714,1.7,2968
90,191.3714286,17.4,6499645,3083,489.8714286,36.2,1630,252.5285714,1.7,2968
100,222.4857143,6.3,6888115,3083,410.9714286,28.5,2090,280.7571429,1.7,2981
