Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
2,60.9,22.7,726590,2825,315.3,71.5,437,189.6,3.4,893
4,114.6,27.5,1301955,2940,281.4,84.5,1013,239.0,1.7,1237
6,28.3,62.4,292075,1807,390.7,60.0,150,101.2,4.0,471
8,236.2,35.1,2349790,2944,412.3,79.0,1392,330.2,2.1,1913
10,35.6,23.2,447750,2280,478.0,59.9,153,106.4,4.0,734
15,49.9,21.5,623580,2627,378.5,77.3,277,154.2,3.6,818
20,60.9,22.7,726590,2825,315.3,71.5,437,189.6,3.4,893
25,72.4,21.3,847940,2890,243.9,75.0,665,166.2,1.9,1165
30,82.7,18.0,1004645,2922,302.5,80.9,674,183.1,1.8,1232
35,96.7,21.3,1133795,2933,258.6,83.9,917,214.1,1.5,1235
40,114.6,27.5,1301955,2940,281.4,84.5,1013,239.0,1.7,1237
45,130.6,28.8,1450315,2940,316.6,84.1,1013,274.4,1.5,1237
50,141.2,32.8,1646575,2942,335.6,86.5,1013,305.1,1.5,1237
60,167.5,27.3,1709795,2940,380.0,85.7,1135,375.7,1.5,1238
70,201.2,20.3,2072610,2941,364.4,86.3,1378,345.5,2.9,1602
80,236.2,35.1,2349790,2944,412.3,79.0,1392,330.2,2.1,1913
90,254.2,24.2,2714665,2945,379.2,73.6,1706,365.3,1.8,1915
100,284.8,21.8,2967780,2948,424.2,61.0,1714,370.8,1.3,2143
276,740.6,19.7,7480195,2953,740.6,19.7,2953,740.6,19.7,2953
