Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
2,9.566666667,43.6,306395,1701,152.5,136.2,138,23.63333333,4.2,770
4,15.96666667,26.2,478395,2274,234.5333333,145.2,156,30.03333333,3.4,1152
6,19.83333333,34.8,656540,2591,221.9,145,264,36.03333333,3.2,1411
8,23.53333333,25.3,812310,2789,265.3,144.4,303,35.93333333,1.8,1920
10,28.46666667,29,929110,2911,263.7,131.5,380,41.03333333,1.3,1924
15,40.23333333,8.7,1212335,3023,360.6666667,119.4,406,61,1.2,2097
20,51.03333333,12.4,1424150,3062,371.6666667,109.5,497,66.66666667,1.5,2316
25,64.66666667,21.8,1804420,3069,442.4,103.5,506,72.3,1.4,2623
30,80.6,4.9,2018175,3075,433.4666667,95.7,610,85.26666667,1.2,2657
35,93.86666667,22.8,2292450,3080,437.6666667,85.5,711,95.73333333,1.6,2724
40,104.0333333,27,2562445,3080,485.7,76.7,711,112.7666667,1.6,2724
45,117.5333333,22.4,2918225,3080,509.8333333,70.7,763,128.7666667,1.5,2728
50,114.4,10.1,2925095,3080,527.1333333,63.7,842,142.3666667,1.7,2766
60,157.3333333,19.2,3363705,3080,629.6,52.5,842,170.9666667,1.6,2768
70,164.7333333,10.1,3762070,3080,730.2333333,47.5,842,198.5333333,1.6,2772
80,197.6333333,18.6,4191140,3080,742.0333333,40.1,979,225.8333333,1.5,2773
90,235.8666667,13,4868090,3080,781.6,35.6,1051,252.2666667,1.5,2785
100,237.9666667,9.2,5578215,3080,812.4666667,44.1,1105,254.5,1.7,3013
314,750.6,11.7,15199925,3080,750.6,11.7,3080,750.6,11.7,3080
